"publisher","year","value"
"sg",2020,2206717.854
"shc",2018,1261834.2039
"shc",2019,1230364.816587
"shc",2020,1109225.20322
"sida",2018,4565938572.48005
"sida",2019,3242698654.14698
"sida",2020,2523820950.97655
"simavi",2018,10995904.86718
"simavi",2019,9134044.264557
"simavi",2020,8386288.94884
"snv",2019,4259379.4086
"snv",2018,7086824.4
"solidagro_admin",2018,2783938.68142
"solidagro_admin",2019,2660895.030078
"solidagro_admin",2020,2290045.19404
"solidaridad",2018,4586270.302
"solidaridad",2020,2468374.36
"solidaridad",2019,2665412.0838
"solidaridad-europe",2018,551761.594
"solidaridad-europe",2019,251948.0355
"solidaridad-europe",2020,266800.188
"solidaridad-ssea",2018,5428305.396
"solidaridad-ssea",2020,4055465.328
"solidaridad-ssea",2019,4758218.6133
"solidaridad-waf",2020,3353981.908
"solidaridad-waf",2019,6885139.3878
"solidaridad-waf",2018,8828409.658
"solsoc",2018,5506744.39984
"solsoc",2019,5666076.954117
"solsoc",2020,5445527.3613
"somo",2018,5575741.81186
"somo",2019,5501932.572003
"somo",2020,5575745.36986
"sosfaim",2018,8029894.09868
"sosfaim",2019,7900490.485797
"sosfaim",2020,7314579.11972
"sosnl",2018,2455468.308
"spuk",2018,9362.0472
"ss-org",2018,74415201.026
"st_vluchteling",2018,4273596.82
"st_vluchteling",2019,225182.1042
"stichting_hivos",2018,22974842.2852
"stichting_hivos",2019,14905987.0482
"stichting_hivos",2020,12813451.492
"street_child",2018,1271585.7422
"street_child",2019,1598564.6352
"street_child",2020,1426135.9673
"svdbskb_admin",2018,3631820.198
"svdbskb_admin",2019,2912441.3484
"svdbskb_admin",2020,2530578.874
"tb-a",2018,10880010
"tbalert",2018,166324.878
"tbi",2018,6900741
"tdh_nl",2018,260872.56
"tearfund",2018,2772373.0276
"tfb_admin1",2018,489770.39396
"tfb_admin1",2019,609132.700434
"tfb_admin1",2020,247381.59652
"the_mentor_initiative",2018,4549014.1846
"the_power_of_nutrition",2018,45914058
"the_power_of_nutrition",2019,44986149
"the_power_of_nutrition",2020,60340000
"theglobalfund",2018,178681726
"theglobalfund",2019,10319169
"ti-uk",2019,4382522.8902
"ti-uk",2020,3681900.6442
"ti-uk",2018,3374636.6286
"ti_kenya",2018,327339.415
"tib",2018,5526940.164
"timidria",2018,401244.389216
"timidria",2019,189880.3296
"timidria",2020,200793.33296
"tlmew",2018,268412.1414
"tmea",2018,7175634
"toffo",2018,13500
"traidcraft",2018,93035.6786
"transparency-international",2018,19515934.49228
"transparency-international",2019,15326840.523535
"transparency-international",2020,3753103.79578
"trianglen",2018,139883.271
"trianglen",2019,98290.6617
"trianglen",2020,27632.5
"trias",2018,11626127.916
"trias",2019,12720420.2001
"trias",2020,12685522.416
"troc",2018,1186062.076064
"troc",2019,367605.541485
"tropicalhealth",2018,2650212.603616
"uawc",2018,3266211
"uawc",2019,4288257
"uawc",2020,2462365
"ub",2018,1727706.686
"ub",2019,1987134.291
"ub",2020,1731255.198
"ucos",2018,259148.87504
"ucos",2019,288828.460095
"ucos",2020,266521.96426
"ulbcoop",2018,3396513.054
"ulbcoop",2019,2715873.0792
"ulbcoop",2020,2310709.892
"umati",2018,64000
"unaids",2018,7000
"uncdf",2018,65586606.99
"undp",2019,3232347094
"undp",2018,5831762373
"undp",2020,1226434294
"unesco",2018,535174568
"unesco",2019,77526915
"unesco",2020,24674105
"unfpa",2018,627865597
"unhcr",2018,7610561467.47
"unhcr",2019,7103496337.14
"unicefnl",2018,3909530.4
"unido",2018,287057844.41
"unitedstates",2018,2964662576
"unocha",2018,15995038
"unw",2019,545113706
"unw",2020,204925713
"uq",2018,38855.921672
"utd",2018,210521875.91
"utd",2019,149077343.18
"utd",2020,76172292.69
"utz",2018,288587.008
"uvcw",2018,1434462.00694
"uvcw",2019,1507937.342985
"uvcw",2020,1788850.46532
"uwezo_youth_empowerment",2018,69070.54944
"uwezo_youth_empowerment",2019,59755.201
"uwezo_youth_empowerment",2020,62328.71964
"vei_nl",2018,23719223.17
"vei_nl",2019,32311805.1144
"vei_nl",2020,32745279.728
"via-db",2018,7905795.8264
"via-db",2019,7582642.681752
"via-db",2020,7647511.2963
"viva",2018,2363668.0128
"viva",2019,2010299.2884
"viva",2020,1783621.1199
"vlir-uos",2018,38692573.98
"vlir-uos",2019,39200664.8859
"vlir-uos",2020,39448109.35
"vngi",2019,4722533.8257
"vngi",2020,4065621.046
"vngi",2018,4529268.77
"vso",2018,29656299.447122
"vvob",2018,10100170.61074
"vvob",2019,10221871.585137
"vvob",2020,9784427.97422
"vvsg",2018,1527029.63902
"vvsg",2019,1392633.406752
"vvsg",2020,1292005.71182
"w-d",2018,856875.512
"wageningen_ur",2018,8625885.926
"wageningen_ur",2019,7836853.0944
"warchildholland",2018,6502448.77
"warchildholland",2019,1960456.353
"warchildholland",2020,493284.944
"wateraid",2018,4282735.134
"wcuk",2018,917398.278
"weeffect",2018,21079477.93
"welbodipartnership",2018,46466.064342
"wellfound",2018,107101.4988
"wemos",2018,2650315.062
"wemos",2019,2523480.4404
"wemos",2020,2259938.418
"wff",2018,7325922
"wff",2019,8659049.7
"wff",2020,9795174
"wfm-igp",2018,948800
"wfm-igp",2019,936240
"wfm-igp",2020,948800
"wfp",2018,10207734887.97
"wfp",2019,9146625076.54
"wfp",2020,6729236430.74
"wfwiuk",2018,1827676.998
"wfwiuk",2019,1468832.9973
"wfwiuk",2020,1563975.828
"whpca",2018,110870.13764
"whpca",2019,106689.399804
"whpca",2020,110863.556593
"win",2018,1728002
"wnf",2018,8660374.806
"wnf",2019,8192683.9797
"wnf",2020,7440816.936
"worldbank",2018,31513622978.05
"worldbank",2019,28974799064.64
"worldbank",2020,23800740446.92
"worldwaternet",2018,5953189.858
"wri",2018,7173585.1082
"wri",2019,5340021.0379
"wri",2020,4300000
"wsm",2018,8656449.21716
"wsm",2019,8987291.184108
"wsm",2020,9108527.23838
"wvnld",2018,8299850.968
"wvuk",2018,2286412.3886
"wvuk",2019,2099666.7315
"wvuk",2020,2054348.1494
"wwf-be",2018,3255940.67244
"wwf-be",2019,3170763.048354
"wwf-be",2020,2986941.8895
"wygi",2018,3041054.75246
"ycare",2018,610681.253696
"ycare",2019,405817.659117
"ycare",2020,243146.3017
"ywcabd",2018,119983.788156
"zoa",2018,31169382.4396
"zoa",2019,13603263.338478
"zoa",2020,11424191.44236
